順接,前の事がらが原因・理由となり、あとの事がらが結果・結論となることを示す。,だから、それで、そのため、このため、そこで、したがって、ゆえに、それゆえに、すると、それなら、それでは,|,V1
逆接,前の事がらから予想される結果とは逆の結果になることを示す。,しかし、しかしながら、が、だけど、けれども、ところが、のに、なのに、それなのに、にもかかわらず、それにもかかわらず、ものの、とはいうものの、でも、だが、それでも,+,V2
並列,前の事がらに後の事がらを並べる。,また、および、かつ、ならびに、同じく,:,H1
添加,前の事がらに後の事がらを付け加える。,そして、それに、それにしても、ともあれ、それから、しかも、おまけに、そのうえ、それどころか、どころか、そればかりか、そればかりでなく,..,V3
対比,前の事がらと後の事がらを比べる。,一方、他方、逆に、反対に、反面,::,H2
選択,前の事がらと後の事がらを選択する。,または、それとも、あるいは、もしくは,{,H3
説明,前の事がらについての説明を述べる。,なぜなら、というのは、だって,[,H4
補足,前の事がらについて補足する。,なお、ただし、ただ、もっとも、ちなみに、そもそも、そのかわり、実は、じつのところ,(,H5
言換,前の事がらについて言い換える。,つまり、すなわち、要するに,(,H6
例示,前の事がらについて例を示す。,例えば、いわば、,(,H7
注目,前の事柄の中からとりあげ注目する。,特に、とりわけ、なかでも,},H8
転換,前の事がらと話題・状況を変える。,それでは、では、さて、ところで,>,V4
列挙,,まずは、次に,T,V5
