1	[135]
2	[163]
3	[42, 'また', 104]
4	[114, 'ただし', 21, 'ただし', 49]
5	[89, 'また', 8]
6	[3, 'また', 199]
7	[13, 'また', 84]
8	[99, 'また', 44, 'また', 15]
9	[65, 'あるいは', 107]
10	[131]
11	[6, 'および', 77, 'および', 7, 'また', 111, 'ないし', 60, 'また', 20]
12	[107, 'また', 56, 'もしくは', 75]
13	[147, 'しかし', 72, 'よって', 41]
14	[111, 'そして', 31]
15	[64, 'また', 22, 'また', 15]
16	[107, 'そして', 40, 'また', 74]
17	[19, 'または', 10, '又は', 9, '又は', 66, 'また', 152, 'また', 55]
18	[105, 'また', 80, 'また', 87]
19	[58, 'そして', 12, 'また', 59, 'そして', 18]
20	[133, 'あるいは', 25]
21	[23, 'また', 22, 'そこで', 6, 'また', 16, 'また', 26, 'また', 12, 'しかし', 7]
22	[50, 'また', 37, 'なお', 124, 'したがって', 70, 'また', 10]
23	[4, 'また', 57, 'そして', 26, 'そうして', 54]
24	[89, 'また', 16]
25	[115, 'または', 29]
26	[36]
27	[156]
28	[22, 'また', 62, 'また', 45]
29	[0, 'まずは', 12, '次に', 4, 'そして', 16, 'そして', 5]
30	[78, 'また', 61]
31	[56, 'それから', 24]
32	[43, 'そこで', 8, 'または', 43]
33	[25, 'また', 48, 'また', 27, 'また', 153]
34	[4, 'また', 58]
35	[13, '又は', 27, 'また', 31]
36	[199, 'まずは', 31, 'また', 5]
37	[99]
38	[85, '及び', 179]
39	[142]
40	[0]
41	[0]
42	[0]
43	[0]
44	[0]
45	[0]
